period;LOC;lat;lon;Filename
Havana Peace Negotiations, Peace Agreement (2012-2016);Turbo, Quindío;4.4610191;-75.667356;19
Havana Peace Negotiations, Peace Agreement (2012-2016);Unguía, Chocó;8.041038799999999;-77.093099;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Uribe, Meta;3.239241;-74.350661;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Valencia, Córdoba;8.2009388;-76.2247366;12
Havana Peace Negotiations, Peace Agreement (2012-2016);Valle del Guamuez, Putumayo;0.4015861;-76.7798172;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Vigía del Fuerte, Chocó;6.588654099999999;-76.896277;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Vigía del Fuerte, Quindío;6.588654099999999;-76.896277;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Villa del Rosario, Norte de Santander;7.8437879;-72.46968970000002;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Villa del Rosario, Santander;7.8437879;-72.46968970000002;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Villavicencio, Meta;4.1491688;-73.6285475;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Vista Hermosa, Meta;3.127883;-73.752512;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Yavaraté, Vaupés;0.6150599999999999;-69.2080299;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Zaragoza, Quindío;4.4610191;-75.667356;10
