period;LOC;lat;lon;Filename
Conflict (2006-2011);Puerto Lleras, Meta;3.272414;-73.369542;13
Conflict (2006-2011);Puerto Rico, Caquetá;1.909918;-75.157235;3
Conflict (2006-2011);Puerto Rico, Meta;2.941214;-73.20746799999999;13
Conflict (2006-2011);Puerto Rondón, Arauca;6.281167;-71.1047959;1
Conflict (2006-2011);Quibdó, Chocó;5.695633;-76.649812;1
Conflict (2006-2011);Quibdó, Quindío;5.695633;-76.649812;81
Conflict (2006-2011);Rioblanco, Tolima;3.530079;-75.643671;1
Conflict (2006-2011);Riohacha, La Guajira;11.5384151;-72.91678379999999;30
Conflict (2006-2011);Riosucio, Caldas;5.420683899999999;-75.705388;4
Conflict (2006-2011);Riosucio, Chocó;7.437558799999999;-77.11333479999999;14
Conflict (2006-2011);Risaralda, Risaralda;5.315847499999999;-75.9927652;6
Conflict (2006-2011);Roberto Payán, Nariño;1.718516;-78.25312;9
Conflict (2006-2011);Río Viejo, Bolívar;8.588396999999999;-73.84025799999999;9
Conflict (2006-2011);Sabanas, Magdalena;10.3792953;-74.7056095;7
Conflict (2006-2011);Salento, Quindío;4.637365;-75.5703107;9
Conflict (2006-2011);Samaniego, Nariño;1.332614;-77.58615499999999;12
Conflict (2006-2011);San Alberto, Cesar;7.7636684;-73.3932117;3
Conflict (2006-2011);San Antero, Córdoba;9.374642;-75.758517;10
Conflict (2006-2011);San Bernardo del Viento, Córdoba;9.3525858;-75.9535815;10
Conflict (2006-2011);San Bernardo, Cundinamarca;4.179444;-74.421566;1
Conflict (2006-2011);San José del Fragua, Caquetá;1.3315742;-75.9733147;11
Conflict (2006-2011);San José del Guaviare, Meta;2.5677606;-72.6396535;10
Conflict (2006-2011);San José, Caquetá;1.36056;-75.94908099999999;2
Conflict (2006-2011);San José, Meta;3.986680375727126;-73.77348313869281;10
Conflict (2006-2011);San Martín, Cesar;7.929618;-73.5122928;3
Conflict (2006-2011);San Miguel, Putumayo;0.33002;-76.87635999999999;13
Conflict (2006-2011);San Onofre, Sucre;9.74084;-75.519872;7
Conflict (2006-2011);San Pablo, Bolívar;7.477887;-73.92410799999999;3
Conflict (2006-2011);San Vicente del Caguán, Caquetá;2.1136446;-74.7732056;3
Conflict (2006-2011);Santa Bárbara, Nariño;2.4505212;-77.98026930000002;7
Conflict (2006-2011);Santa Marta, Magdalena;11.2403547;-74.2110227;5
Conflict (2006-2011);Santa Rosa de Osos, Risaralda;5.315847499999999;-75.9927652;6
Conflict (2006-2011);Santa Rosa, Bolívar;10.445791;-75.368501;3
Conflict (2006-2011);Santa Rosa, Risaralda;4.870121;-75.62239;6
Conflict (2006-2011);Santacruz, Nariño;1.51723;-77.25113999999999;12
Conflict (2006-2011);Saravena, Arauca;6.956106999999999;-71.87259499999999;9
Conflict (2006-2011);Silvia, Cauca;2.611615;-76.37754;7
Conflict (2006-2011);Simití, Bolívar;7.957151;-73.946404;5
Conflict (2006-2011);Sincelejo, Sucre;9.3045773;-75.39055669999999;5
Conflict (2006-2011);Sipí, Chocó;4.65306;-76.64417;11
Conflict (2006-2011);Soacha, Cundinamarca;4.5827227;-74.21174649999999;21
Conflict (2006-2011);Solano, Caquetá;0.699152;-75.25355499999999;10
Conflict (2006-2011);Soledad, Atlántico;10.9215472;-74.7688173;11
