LOC;lat;lon;Filename
El Retorno, Guaviare;2.331899;-72.62812699999999;75
El Retén, Magdalena;10.611793;-74.26938299999999;5
El Rosario, Nariño;1.742897;-77.33513239999999;26
El Tambo, Cauca;2.452695;-76.81132199999999;12
El Tarra, Norte de Santander;8.57451;-73.09339;43
El Zulia, Norte de Santander;7.937289;-72.604826;2
El Zulia, Santander;7.937289;-72.604826;6
El charo, Nariño;2.479311;-78.11021099999999;1
Espinal, Tolima;4.147075;-74.89749250000001;4
Espinal, Tolima, Tolima;4.147075;-74.89749250000001;2
Falan, Tolima;5.1206208;-74.95246910000002;2
Flandes, Tolima;4.2867309;-74.812294;4
Flandes, Tolima, Tolima;4.2867309;-74.812294;2
Florencia, Caquetá;1.6153858;-75.60423639999999;8
Florida, Antioquia;6.2476598;-75.565816;10
Florida, Valle del Cauca;3.3213339;-76.235361;26
Floridablanca, Antioquia;6.2476598;-75.565816;20
Fortul, Arauca;6.794366999999999;-71.7715489;53
Francisco Pizarro, Nariño;2.0403017;-78.6582394;20
Fredonia, Antioquia;5.9270266;-75.67135379999999;3
Frontino, Antioquia;6.772999899999999;-76.1313454;9
Fundación, Magdalena;10.517179;-74.1819979;37
Fusagasugá, Cundinamarca;4.345152;-74.361823;20
Galapa, Atlántico;10.8996383;-74.88618819999999;33
Gama, Cesar;8.31940019494776;-73.74460033658191;3
Gamarra, Cesar;8.319315999999999;-73.743937;3
Girardot, Cundinamarca, Tolima;4.3045959;-74.8031414;2
Girardot, Tolima;4.3045959;-74.8031414;4
Giron, Antioquia;6.2476598;-75.565816;4
Girón, Antioquia;6.2476598;-75.565816;16
Granada, Meta;3.5436442;-73.7028107;34
Guadalajara de Buga, Valle del Cauca;3.8946048;-76.3055772;5
Guaduas, Cundinamarca;5.0678088;-74.5953205;18
Guamal, Magdalena;9.144527;-74.22629400000001;18
Guapi, Cauca;2.5728709;-77.8889378;2
Guapi, Quindío;4.4610191;-75.667356;3
Guaranda, Sucre;8.468309999999999;-74.537025;9
Génova, Quindío;4.2497299;-75.66954;18
Güicán de la Sierra, Boyacá;6.4630011;-72.411958;9
Güicán, Boyacá;6.4630011;-72.411958;2
Hacarí, Norte de Santander;8.320680099999999;-73.1461958;1
Hato Corozal, Casanare;6.154946;-71.76236;16
Hato Corozal, Nariño;6.154946;-71.76236;2
Hato, Casanare;6.154946;-71.76236;7
Hispania, Antioquia;5.7991967;-75.908417;4
