clean_NNAJ_actors|Departamento|Filename|Year|categoria|place|LOC|lat|lon|period
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018|Guerrillas|Vigía del Fuerte|Vigía del Fuerte, Chocó|6.588654099999999|-76.896277|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Chocó|AT N° 012-18 CHO-Rio Quito.pdf|2018|Nuevos Paramilitares (Narco-Para)|Río Quito|Río Quito, Chocó|5.5380856|-76.7798172|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Chocó|AT N° 012-18 CHO-Rio Quito.pdf|2018|Nuevos Paramilitares (Narco-Para)|Río Quito|Río Quito, Chocó|5.5380856|-76.7798172|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Chocó|AT N° 012-18 CHO-Rio Quito.pdf|2018|Nuevos Paramilitares (Narco-Para)|Río Quito|Río Quito, Chocó|5.5380856|-76.7798172|Post-Agreement (2017-2022)
Águilas Negras|Antioquia|AT N° 016-18 ANT-Yarumal.pdf|2018|Nuevos Paramilitares (Narco-Para)|Yarumal|Yarumal, Antioquia|6.961969|-75.4190689|Post-Agreement (2017-2022)
Autodefensas Unidas De Colombia|Antioquia|AT N° 016-18 ANT-Yarumal.pdf|2018|Paramilitares|Yarumal|Yarumal, Antioquia|6.961969|-75.4190689|Post-Agreement (2017-2022)
Águilas Negras|Antioquia|AT N° 016-18 ANT-Yarumal.pdf|2018|Nuevos Paramilitares (Narco-Para)|Yarumal|Yarumal, Antioquia|6.961969|-75.4190689|Post-Agreement (2017-2022)
Urabeños|Antioquia|AT N° 016-18 ANT-Yarumal.pdf|2018|Nuevos Paramilitares (Narco-Para)|Yarumal|Yarumal, Antioquia|6.961969|-75.4190689|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Antioquia|AT N° 016-18 ANT-Yarumal.pdf|2018|Nuevos Paramilitares (Narco-Para)|Yarumal|Yarumal, Antioquia|6.961969|-75.4190689|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Barranquilla|Barranquilla, Atlántico|11.0041072|-74.80698129999999|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Galapa|Galapa, Atlántico|10.8996383|-74.88618819999999|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Malambo|Malambo, Atlántico|10.8575824|-74.7746834|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Soledad|Soledad, Atlántico|10.9215472|-74.7688173|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Colombia|Colombia, Atlántico|10.6966159|-74.8741045|Post-Agreement (2017-2022)
Bandas Criminales|Atlántico|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018|Nuevos Paramilitares (Narco-Para)|Puerto Colombia|Puerto Colombia, Atlántico|11.001004|-74.950761|Post-Agreement (2017-2022)
